Product Name,Low Price,Type of Operating System,RAM,Internal Storage,Voice Quality,Network Sensitivity,WIFI Connection,Computing Power,Localization,Camera,Display,Long Battery Life,Short Charging Time,Durability,Resistance,Waterproofing,Suitable Size,Suitable Weight,Large Number of Ratings,High Customer Rating
Apple: iPhone 15,950,iOS,6,128,2,2,2,1,2,1.6,1,2,2,2,2,1,107,171,189,4.3
Apple: iPhone 15 Plus,1100,iOS,6,128,2,3,2,1,2,1.6,1.1,1,2,2,2,1,126,201,63,4.7
Apple: iPhone 15 Pro,1200,iOS,8,128,2,2,2,1,1,1.5,1.1,2,2,1,2,1,104,190,194,4.5
Apple: iPhone 15 Pro Max,1500,iOS,8,256,2,3,2,1,1,1.4,1,1,2,1,2,1,123,223,109,4.3
Apple: iPhone 14,855,iOS,6,128,2,2,2,1,2,1.8,1.1,2,2,2,2,2,106,171,4047,4.6
Apple: iPhone 14 Plus,960,iOS,6,128,2,2,2,1,2,1.8,1.2,1,2,2,2,2,126,203,1576,4.7
Apple: iPhone 14 Pro,1190,iOS,6,128,2,2,2,1,1,1.6,1.1,2,2,1,2,1,107,207,3803,4.6
Apple: iPhone 14 Pro Max,1350,iOS,6,128,2,2,2,1,1,1.6,1.1,1,2,1,2,1,126,242,3781,4.7
Apple: iPhone SE (2022),535,iOS,4,64,2,2,1,1,3,2.4,2.2,3,2,2,2,2,92,145,1233,4.6
Samsung: Galaxy S23 Ultra,1160,Android,8,256,2,3,2,1,1,1.6,1.2,1,2,2,2,1,126,238,73,4.5
Samsung: Galaxy S23,755,Android,8,128,2,3,1,1,1,1.7,1.2,2,2,2,2,1,100,170,252,4.5
Google: Pixel 6,470,Android,8,128,2,2,1,2,1,2.1,1.5,2,2,2,2,2,109,207,2322,4.3
Oppo: Find X5 Pro,680,Android,12,256,1,2,2,1,1,2,1.2,2,1,3,2,2,117,217,86,4.4
Samsung: Galaxy S22,625,Android,8,128,1,2,1,1,1,1.8,1.3,3,3,2,2,1,104,169,229,4.2
Xiaomi: 13 Pro 5G,1270,Android,12,256,2,2,2,1,1,1.8,1.2,1,1,2,2,2,122,234,9,3.9
Google: Pixel 7,565,Android,8,128,2,3,2,1,2,2,1.6,3,3,2,2,1,114,196,1992,4.2
Google: Pixel 7 Pro,830,Android,12,128,2,3,2,1,2,1.7,1.3,3,3,2,2,1,126,212,1500,4.2
Honor: 50,475,Android,6,128,2,2,1,2,1,2.8,1.5,1,1,2,2,2,118,176,646,4.4
Nothing: Phone (1),380,Android,8,128,2,2,2,2,2,2.4,1.7,1,1,2,2,1,121,196,1122,4.5
